DATA;DATA_TS;RES65;PM10;so2;co;o3;no2
13 de nov de 97;1997-11-13;13;79,685;14,035;4,17;70,613;117,792
14 de nov de 97;1997-11-14;13;48,871;10,5667;4,0683;48,832;88,13
15 de nov de 97;1997-11-15;11;26,877;7,1533;1,8517;28,943;58,676
16 de nov de 97;1997-11-16;7;37,922;5,7367;2,3433;71,332;83,636
17 de nov de 97;1997-11-17;8;50,927;7,3667;4,3083;63,782;183,09
18 de nov de 97;1997-11-18;9;37,668;6,47;4,4867;25,778;95,068
19 de nov de 97;1997-11-19;8;32,051;9,97;2,4783;27,848;66,38
20 de nov de 97;1997-11-20;8;43,319;12,765;2,605;54,376;85,475
21 de nov de 97;1997-11-21;9;54,37;14,035;3,9471;48,268;111,02
22 de nov de 97;1997-11-22;7;47,938;8,295;3,5571;68,817;88,157
23 de nov de 97;1997-11-23;10;46,672;5,8525;2,7686;60,195;77,74
24 de nov de 97;1997-11-24;7;40,365;9,915;3,8114;56,587;102,698
25 de nov de 97;1997-11-25;16;38,898;8,45;2,32;38,115;72,878
26 de nov de 97;1997-11-26;12;42,872;8,5575;2,8729;29,688;67,478
27 de nov de 97;1997-11-27;16;45,472;12,395;3,6771;31,098;75,42
28 de nov de 97;1997-11-28;14;37,075;9,71;3,3367;32,322;80,65
29 de nov de 97;1997-11-29;10;43,873;11,205;2,1383;46,947;54,356
30 de nov de 97;1997-11-30;10;39,691;8,5;1,6017;69,562;57,72
1 de dez de 97;1997-12-01;8;52,262;10,7;4,2567;36,702;93,342
2 de dez de 97;1997-12-02;10;40,948;6,925;4,205;22,5;71,336
3 de dez de 97;1997-12-03;11;53,832;15,7875;3,74;50,4;91,714
4 de dez de 97;1997-12-04;6;61,694;10,5875;4,6043;31,474;112,36
5 de dez de 97;1997-12-05;5;65,241;18,4975;3,9471;179,746;202,098
6 de dez de 97;1997-12-06;5;64,922;16,5625;3,2186;69,088;87,69
7 de dez de 97;1997-12-07;8;46,218;9,7875;2,3843;45,725;79,782
8 de dez de 97;1997-12-08;7;48,568;10,245;3,0114;48,202;81,822
9 de dez de 97;1997-12-09;8;58,278;13,52;2,7043;134,107;141,91
10 de dez de 97;1997-12-10;9;51,662;16,04;2,3886;81,61;116,327
11 de dez de 97;1997-12-11;11;59,873;14,8925;2,32;86,06;108,252
12 de dez de 97;1997-12-12;13;67,465;14,3825;3,2071;65,002;129,45
13 de dez de 97;1997-12-13;12;47,408;6,6525;3,8157;34,165;85,002
14 de dez de 97;1997-12-14;13;32,588;5,8;3,2986;34,67;54,388
15 de dez de 97;1997-12-15;6;35,633;7,3367;3,3;27,238;66,273
16 de dez de 97;1997-12-16;10;49,994;11,53;3,2729;84,33;110,117
17 de dez de 97;1997-12-17;9;35,432;9,4833;1,8714;30,14;55,46
18 de dez de 97;1997-12-18;9;44,781;10,8825;2,9071;46,348;92,12
19 de dez de 97;1997-12-19;11;45,595;11,85;3,5743;39,985;102,803
20 de dez de 97;1997-12-20;8;41,559;10,565;3,58;44,217;72,948
